No,S1,S2,ratings,,,,
1,Would you like to go out to drink with me tonight?,I really don't know what to eat tonight so I might go out somewhere.,1.01,,,,
2,I advise you to treat this matter very seriously as it is vital. ,"You must take this most seriously, it will affect you.",3.38,,,,
3,When I was going out to meet my friends there was a delay at the train station. ,The train operator announced to the passengers that the train would be delayed.,3.13,,,,
4,"Does music help you to relax, or does it distract you too much? ",Does this sponge look wet or dry to you? ,0.1,,,,
5,You must realise that you will definitely be punished if you play with the alarm. ,He will be harshly punished for setting the fire alarm off. ,2.84,,,,
6,I will make you laugh so much that your sides ache. ,When I tell you this you will split your sides laughing. ,3.75,,,,
7,You shouldn't be covering what you really feel. ,"There is no point in covering up what you said, we all know. ",2.21,,,,
8,Do you want to come with us to the pub behind the hill? ,We are going out for drinks tonight in Salford Quays if you would like to come.,1.82,,,,
9,"This key doesn't seem to be working, could you give me another? ","I dislike the word quay, it confuses me, I always think of things for locks, there's another one. ",0.72,,,,
10,The ghost appeared from nowhere and frightened the old man. ,"The ghost of Queen Victoria appears to me every night, I don't know why, I don't even like the royals",1.45,,,,
11,You're not a good friend if you're not prepared to be present when I need you. ,A good friend always seems to be present when you need them.,3.14,,,,
12,The children crossed the road very safely thanks to the help of the lollipop lady. ,"It was feared that the child might not recover, because he was seriously ill.",0.13,,,,
13,I have invited a variety of people to my party so it should be interesting. ,A number of invitations were given out to a variety of people inviting them down the pub.,2.18,,,,
14,"I offer my condolences to the parents of John Smith, who was unfortunately murdered. ",I express my sympathy to John Smith’s parents following his murder. ,3.91,,,,
15,Boats come in all shapes and sizes but they all do the same thing. ,"Chairs can be comfy and not comfy, depending on the chair. ",0.5,,,,
16,"If you continuously use these products, I guarantee you will look very young. ","I assure you that, by using these products consistently over a long period of time, you will appear really young.",3.58,,,,
17,We ran farther than the other children that day. ,You ran farther than anyone today. ,2.43,,,,
18,I always like to have a slice of lemon in my drink especially if it's Coke. ,"I like to put a wedge of lemon in my drinks, especially cola. ",3.81,,,,
19,"It seems like I've got eczema on my ear doctor, can you recommend something for me? ",I had to go to a chemist for a special rash cream for my ear. ,2.05,,,,
20,"I am proud of our nation, well, most of it. ",I think of myself as being part of a nation.,1.71,,,,
21,There was a heap of rubble left by the builders outside my house this morning. ,"Sometimes in a large crowd accidents may happen, which can cause deadly injuries. ",0.09,,,,
22,"Water freezes at a certain temperature, which is zero degrees Celsius. ",The temperature of boiling water is 100 C and the temperature of ice is 0 C.,3.08,,,,
23,"We got home safely in the end, although it was a long journey. ","Though it took many hours travel, we finally reached our house safely. ",3.06,,,,
24,A man called Dave gave his fiancée a large diamond ring for their engagement.  ,The man presented a diamond to the woman and asked her to marry him.,3.22,,,,
25,"I used to run quite a lot, in fact once I ran for North Tyneside. ",I used to climb lots at school as we had a new climbing wall put in the gym.,0.74,,,,
26,I love to laugh as it makes me happy as well as those around me. ,I thought we bargained that it would only cost me a pound. ,0.08,,,,
27,Because I am the eldest one I should be more responsible. ,"Just because of my age, people shouldn't think I'm a responsible adult, but they do?",2.23,,,,
28,I need to dash into the kitchen because I think my chip pan is on fire. ,In the event of a chip pan fire follow the instructions on the safety note.,1.7,,,,
29,"Peter was a very large youth, whose size intimidated most people, much to his delight. ","Now I wouldn't say he was fat, but I'd certainly say he was one of the larger boys. ",1.96,,,,
30,"I'm going to buy a grey jumper today, in half an hour. ","That's a nice grey top, where did you get it from? ",1.25,,,,
31,"We got soaked in the rain today, but now we are nice and dry. ","I was absolutely soaking wet last night, I drove my bike through the worst weather.",1.68,,,,
32,Global warming is what everyone is worrying about today. ,The problem of global warming is a concern to every country in the world at the moment.,3.14,,,,
33,He was harshly punished for setting the fire alarms off. ,"He delayed his response, in order to create a tense atmosphere.",0.22,,,,
34,Midday is 12 o'clock in the middle of the day. ,Noon is 12 o'clock in the middle of the day. ,3.96,,,,
35,"That's not a very good car, on the other hand mine is great. ",This is a terrible noise level for a new car.,1.05,,,,
36,"There was a terrible accident, a pileup, on the M16 today. ","It was a terrible accident, no one believed it was possible.",2.33,,,,
37,After hours of getting lost we eventually arrived at the hotel. ,After walking against the strong wind for hours he finally returned home safely. ,1.09,,,,
38,The first thing I do in a morning is make myself a cup of coffee. ,The first thing I do in the morning is have a cup of coffee.,3.85,,,,
39,"Someone spilt a drink accidentally on my shirt, so I changed it. ","It appears to have shrunk, it wasn't that size before I washed it. ",0.48,,,,
40,"I'm worried most seriously about the presentation, not the essay. ",It is mostly very difficult to gain full marks in today's exam.,0.77,,,,
41,It is mostly very difficult to gain full marks in today's exam. ,"The exam was really difficult, I've got no idea if I'm going to pass.",2.54,,,,
42,Meet me on the hill behind the church in half an hour. ,Join me on the hill at the back of the church in thirty minutes time.,3.93,,,,
43,"If you don't console with a friend, there is a chance you may hurt their feelings. ",One of the qualities of a good friend is the ability to console.,3.01,,,,
44,"We tried to bargain with him but it made no difference, he still didn't change his mind. ","I tried bargaining with him, but he just wouldn't listen.",3.43,,,,
45,It gives me great pleasure to announce the winner of this year's beauty pageant. ,It’s a real pleasure to tell you who has won our annual beauty parade.,3.88,,,,
46,They said they were hoping to go to America on holiday. ,"I like to cover myself up in lots of layers, I don't like the cold. ",0.16,,,,
47,Will I have to drive far to get to the nearest petrol station? ,Is it much farther for me to drive to the next gas station?,3.84,,,,
48,I think I know her from somewhere because she has a familiar face. ,"You have a very familiar face, where do I know you from?",3.36,,,,
49,I am sorry but I can't go out as I have a heap of work to do. ,I’ve a heap of things to finish so I can’t go out I’m afraid. ,3.6,,,,
50,The responsible man felt very guilty when he crashed into the back of someone's car. ,A slow driver can be annoying even though they are driving safely. ,0.88,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
