No,S1,S2,,,,,
1,I like that bachelor.,I like that unmarried man.,,,,,
2,John is very nice.,Is John very nice?,,,,,
3,I have a pen.,Where do you live?,,,,,
4,I have a pen.,Where is ink?,,,,,
5,Red alcoholic drink.,A bottle of wine.,,,,,
6,Red alcoholic drink.,An English dictionary.,,,,,
7,Red alcoholic drink.,Fresh orange juice.,,,,,
8,Red alcoholic drink.,Fresh apple juice.,,,,,
9,It is a dog.,It is a log.,,,,,
10,It is a dog.,It is a pig.,,,,,
11,It is a dog.,That must be your dog.,,,,,
12,Dogs are animals.,They are common pets.,,,,,
13,Canis familiaris are animals.,Dogs are common pets.,,,,,
14,I have a hammer.,Take some nails.,,,,,
15,I have a hammer.,Take some apples.,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
